23847 intern Strings occupying 2787752 bytes.
class_loader	classes	bytes	parent_loader	alive?	type

<bootstrap>	2512	15222544	  null  	live	<internal>
0x00002b445ddbabb8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c02d2b0	14	67528	0x00002b445ba956d0	dead	com/thoughtworks/xstream/core/util/CompositeClassLoader@0x00002b444c344828
0x00002b445c201990	1	3096	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f30c780	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf23df0	20	310584	0x00002b445bf23e78	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445be1cc20	66	899112	0x00002b445be1cca8	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445f2a4bf0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c957ec8	1	3080	0x00002b445be97c70	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c9580d0	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be9cca8	101	636784	0x00002b445be9cd30	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445bfe4aa8	50	485200	0x00002b445bfe4b30	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c9591e0	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95aa28	1	3080	0x00002b445bee62d0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf5bac0	18	171912	0x00002b445bf5bb48	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445bf981c8	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445d4e2968	2	7032	0x00002b445bde8bb8	dead	hudson/remoting/RemoteClassLoader@0x00002b444f589b50
0x00002b44a6fcd380	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d4c20	8	86856	0x00002b445befd680	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445c847dd8	10	104040	0x00002b445bfe4aa8	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445beeca98	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445f6799c8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8420b8	8	93240	0x00002b445bfaff48	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b44a6f43c48	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf642e8	1	1920	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c956fa8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445e7c97d8	0	0	0x00002b445e7c9890	dead	org/codehaus/plexus/classworlds/realm/ClassRealm@0x00002b445017cdb0
0x00002b445bf6e908	74	690368	0x00002b445bf6e990	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b44a6f972e0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f416b8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f2a6150	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f67c4d8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f2a86e8	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f2af9e0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445dde2898	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445e266830	1	3064	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c959930	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f60f910	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c956720	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c955ce8	11	95152	0x00002b445be4b460	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b44a6f04b80	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f2a2580	1	1920	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95b3c0	1	1920	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a701b988	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445e839e50	1	3088	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf95df8	12	79472	0x00002b445bf95e80	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c2019f8	14	67528	0x00002b445ba956d0	dead	com/thoughtworks/xstream/core/util/CompositeClassLoader@0x00002b444c344828
0x00002b445d336810	1	3080	0x00002b445be5c520	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c957628	1	3080	0x00002b445bee3a40	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f677e28	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445de28098	0	0	0x00002b445bee3a40	dead	org/kohsuke/stapler/jelly/groovy/GroovyClassLoaderTearOff$2@0x00002b444f8ac078
0x00002b445dcb3ae0	4	16120	0x00002b445bde8bb8	dead	hudson/remoting/RemoteClassLoader@0x00002b444f589b50
0x00002b445c95d548	1	1920	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95ddd0	1	1920	0x00002b445be5f190	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f29ff80	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c958820	1	3064	0x00002b445ba95758	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f95828	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
