
 num     #instances         #bytes  class name
----------------------------------------------
   1:         12494       22178168  [F
   2:        129243       21649248  [I
   3:        258541       20371520  [C
   4:        110651       17964240  <constMethodKlass>
   5:         82164       17767088  [B
   6:         12297       14138128  <constantPoolKlass>
   7:        110651       13290840  <methodKlass>
   8:        167023        9743488  <symbolKlass>
   9:         12297        9255680  <instanceKlassKlass>
  10:        207389        8295560  java.lang.String
  11:         10132        7884064  <constantPoolCacheKlass>
  12:         30440        4963856  [Ljava.util.HashMap$Entry;
  13:         51435        4929296  [Ljava.lang.Object;
  14:         34969        3077272  java.util.regex.Matcher
  15:         12908        2375072  java.lang.Class
  16:         49215        2362320  java.util.HashMap$Entry
  17:         28460        1821440  java.util.TreeMap$Entry
  18:          3573        1757464  <methodDataKlass>
  19:         11206        1703312  java.util.GregorianCalendar
  20:         24740        1583360  java.util.LinkedHashMap$Entry
  21:         18624        1556456  [[I
  22:          8852        1345504  java.lang.reflect.Method
  23:         11208        1344960  sun.util.calendar.Gregorian$Date
  24:         20994        1283184  [Ljava.lang.String;
  25:         19925        1275200  java.util.HashMap
  26:         18654        1141584  [S
  27:         19260        1078560  java.util.HashMap$KeyIterator
  28:         12957        1036560  java.util.TreeMap
  29:         30828         986496  java.lang.StringBuffer
  30:         23888         955520  java.util.AbstractList$Itr
  31:         29220         935040  sun.text.normalizer.ReplaceableUCharacterIterator
  32:         11211         896880  sun.util.calendar.ZoneInfo
  33:         14996         839776  java.lang.ref.SoftReference
  34:          6417         821376  java.lang.reflect.Field
  35:         16885         810480  java.util.concurrent.locks.ReentrantLock$NonfairSync
  36:         11102         799344  hudson.plugins.global_build_stats.model.JobBuildResult
  37:          9982         798560  java.util.LinkedHashMap
  38:         18137         725480  java.util.ArrayList
  39:         15021         721008  java.util.Hashtable$Entry
  40:         29220         701280  sun.text.normalizer.ReplaceableString
  41:         14346         688608  java.util.concurrent.ConcurrentHashMap$Segment
  42:         20678         661696  java.util.concurrent.CopyOnWriteArrayList$COWIterator
  43:         19842         634944  java.util.Collections$UnmodifiableCollection$1
  44:         10041         562296  java.util.TreeMap$KeyIterator
  45:         11326         561528  [Z
  46:          3175         558800  java.io.ObjectStreamClass
  47:         10625         510000  java.lang.ref.WeakReference
  48:         14347         507368  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  49:          3823         458760  java.lang.reflect.Constructor
  50:          7794         436464  java.io.ObjectStreamClass$WeakClassKey
  51:         13575         434400  java.lang.StringBuilder
  52:          8743         419664  com.michelin.cio.hudson.plugins.rolestrategy.RoleMap$2
  53:          8424         404352  java.lang.StackTraceElement
  54:          5575         401400  java.util.WeakHashMap$Entry
  55:          9503         380120  java.util.Vector
  56:          1338         377168  [Ljava.util.Hashtable$Entry;
  57:          8743         349720  hudson.security.SidACL$1
  58:          5408         346112  jenkins.model.lazy.BuildReference
  59:           582         335232  <objArrayKlassKlass>
  60:          5918         331408  java.util.LinkedHashMap$ValueIterator
  61:          7187         287480  hudson.scm.CvsFile
  62:         11880         285120  java.util.HashSet
  63:          8745         279840  com.michelin.cio.hudson.plugins.rolestrategy.RoleMap
  64:           335         277240  [J
  65:          2628         273312  java.net.URL
  66:         10289         246936  java.util.HashMap$KeySet
  67:          1086         243264  hudson.model.FreeStyleBuild
  68:          6013         240520  sun.reflect.generics.tree.SimpleClassTypeSignature
  69:          9975         239400  java.util.Collections$UnmodifiableSet
  70:          5483         219320  org.jvnet.localizer.Localizable
  71:          3387         216768  java.lang.ref.Finalizer
  72:          7236         216192  [Ljava.lang.Class;
  73:          5483         216160  [Ljava.io.Serializable;
  74:          4477         214896  java.util.concurrent.ConcurrentHashMap$HashEntry
  75:          8745         209880  com.michelin.cio.hudson.plugins.rolestrategy.RoleMap$AclImpl
