STATUS | wrapper  | 2014/01/30 12:50:17 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/01/30 12:50:17 | Java Service Wrapper Community Edition 64-bit 3.5.11
STATUS | wrapper  | 2014/01/30 12:50:17 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/01/30 12:50:17 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/01/30 12:50:17 | 
STATUS | wrapper  | 2014/01/30 12:50:17 | Launching a JVM...
INFO   | jvm 1    | 2014/01/30 12:50:17 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/01/30 12:50:19 | Running from: /opt/jenkins/lib/jenkins.war
INFO   | jvm 1    | 2014/01/30 12:50:19 | webroot: System.getProperty("JENKINS_HOME")
INFO   | jvm 1    | 2014/01/30 12:50:20 | 30.01.2014 12:50:20 org.eclipse.jetty.util.log.JavaUtilLog info
INFO   | jvm 1    | 2014/01/30 12:50:20 | INFO: jetty-8.y.z-SNAPSHOT
INFO   | jvm 1    | 2014/01/30 12:50:20 | 30.01.2014 12:50:20 org.eclipse.jetty.util.log.JavaUtilLog info
INFO   | jvm 1    | 2014/01/30 12:50:20 | INFO: Extract jar:file:/opt/jenkins/lib/jenkins.war!/ to /opt/jenkins/tmp/jetty-0.0.0.0-8280-jenkins.war--any-/webapp
INFO   | jvm 1    | 2014/01/30 12:50:34 | 30.01.2014 12:50:34 org.eclipse.jetty.util.log.JavaUtilLog info
INFO   | jvm 1    | 2014/01/30 12:50:34 | INFO: NO JSP Support for , did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2014/01/30 12:50:37 | Jenkins home directory: /opt/jenkins/bin/../data found at: System.getProperty("JENKINS_HOME")
INFO   | jvm 1    | 2014/01/30 12:50:39 | 30.01.2014 12:50:39 org.eclipse.jetty.util.log.JavaUtilLog info
INFO   | jvm 1    | 2014/01/30 12:50:39 | INFO: Started SelectChannelConnector@0.0.0.0:8280
INFO   | jvm 1    | 2014/01/30 12:50:39 | 30.01.2014 12:50:39 winstone.Logger logInternal
INFO   | jvm 1    | 2014/01/30 12:50:39 | INFO: Winstone Servlet Engine v2.0 running: controlPort=disabled
INFO   | jvm 1    | 2014/01/30 12:50:49 | 30.01.2014 12:50:49 jenkins.InitReactorRunner$1 onAttained
INFO   | jvm 1    | 2014/01/30 12:50:49 | INFO: Started initialization
INFO   | jvm 1    | 2014/01/30 12:50:50 | 30.01.2014 12:50:50 hudson.ClassicPluginStrategy createPluginWrapper
INFO   | jvm 1    | 2014/01/30 12:50:50 | INFO: Plugin depgraph-view.hpi is disabled
