ws-cleanup                 Workspace Cleanup Plugin                                         0.29
branch-api                 Branch API Plugin                                                1.7 (1.8)
git-client                 Git client plugin                                                1.19.6
ace-editor                 JavaScript GUI Lib: ACE Editor bundle plugin                     1.1
config-file-provider       Config File Provider Plugin                                      2.10.1
timestamper                Timestamper                                                      1.7.4 (1.8.2)
windows-slaves             Windows Slaves Plugin                                            1.1
sonar                      SonarQube Plugin                                                 2.4 (2.4.1)
mercurial                  Mercurial plugin                                                 1.54
workflow-cps               Pipeline: Groovy                                                 2.2
javadoc                    Javadoc Plugin                                                   1.3
rebuild                    Rebuilder                                                        1.25
handlebars                 JavaScript GUI Lib: Handlebars bundle plugin                     1.1.1
parameterized-trigger      Parameterized Trigger plugin                                     2.30
jquery                     jQuery plugin                                                    1.11.2-0
plain-credentials          Plain Credentials Plugin                                         1.1 (1.2)
token-macro                Token Macro Plugin                                               1.12.1
build-pipeline-plugin      Build Pipeline Plugin                                            1.5.2
pipeline-rest-api          Pipeline: REST API Plugin                                        1.3 (1.4)
pipeline-stage-step        Pipeline: Stage Step                                             2.1
git-server                 Git server plugin                                                1.6
jquery-detached            JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin 1.2.1
github-oauth               Github Authentication plugin                                     0.23
antisamy-markup-formatter  OWASP Markup Formatter Plugin                                    1.3
git                        Git plugin                                                       2.4.4
artifactory                Artifactory Plugin                                               2.4.7
workflow-support           Pipeline: Supporting APIs                                        2.0
matrix-project             Matrix Project Plugin                                            1.6
workflow-scm-step          Pipeline: SCM Step                                               2.0
pam-auth                   PAM Authentication plugin                                        1.2
active-directory           Active Directory plugin                                          1.45 (1.46)
workflow-job               Pipeline: Job                                                    2.1 (2.2)
junit                      JUnit Plugin                                                     1.13
slack                      Slack Notification Plugin                                        2.0.1
sounds                     Sounds plugin                                                    0.4.3
matrix-auth                Matrix Authorization Strategy Plugin                             1.3.2
external-monitor-job       External Monitor Job Type Plugin                                 1.4
scm-api                    SCM API Plugin                                                   1.2
pipeline-stage-view        Pipeline: Stage View Plugin                                      1.3 (1.4)
ssh-credentials            SSH Credentials Plugin                                           1.11 (1.12)
ansible                    Ansible plugin                                                   0.4 (0.5)
pipeline-input-step        Pipeline: Input Step                                             2.0
credentials-binding        Credentials Binding Plugin                                       1.7
workflow-step-api          Pipeline: Step API                                               2.0
pipeline-build-step        Pipeline: Build Step                                             2.0
workflow-basic-steps       Pipeline: Basic Steps                                            2.0
build-timeout              build timeout plugin                                             1.16
ldap                       LDAP Plugin                                                      1.12
bitbucket                  Bitbucket Plugin                                                 1.1.5
pipeline-utility-steps     Pipeline Utility Steps                                           1.1.5
workflow-api               Pipeline: API                                                    2.0
icon-shim                  Icon Shim Plugin                                                 2.0.3
embeddable-build-status    embeddable-build-status                                          1.9
workflow-aggregator        Pipeline                                                         2.1
structs                    Structs Plugin                                                   1.1
mailer                     Mailer Plugin                                                    1.17
ant                        Ant Plugin                                                       1.2 (1.3)
workflow-durable-task-step Pipeline: Nodes and Processes                                    2.0
momentjs                   JavaScript GUI Lib: Moment.js bundle plugin                      1.1.1
m2release                  Maven Release Plug-in Plug-in                                    0.14.0
ssh-agent                  SSH Agent Plugin                                                 1.10
workflow-multibranch       Pipeline: Multibranch                                            2.3
maven-plugin               Maven Integration plugin                                         2.12.1 (2.13)
cloudbees-folder           Folders Plugin                                                   5.9 (5.10)
script-security            Script Security Plugin                                           1.19
durable-task               Durable Task Plugin                                              1.9 (1.10)
credentials                Credentials Plugin                                               1.28 (2.0)
github-api                 GitHub API Plugin                                                1.75
workflow-cps-global-lib    Pipeline: Shared Groovy Libraries                                2.0
