Name	Version
Ant Plugin	1.11
Apache HttpComponents Client 4.x API Plugin	4.5.10-2.0
Authentication Tokens API Plugin	1.3
bouncycastle API Plugin	2.18
Branch API Plugin	2.5.5
Command Agent Launcher Plugin	1.4
Credentials Binding Plugin	1.20
Credentials Plugin	2.3.1
Cron Column Plugin	1.4
CVS Plug-in	2.14
Dashboard View	2.12
Display URL API	2.3.2
Docker Commons Plugin	1.16
Docker Pipeline	1.21
Durable Task Plugin	1.33
Email Extension Plugin	2.68
Emma plugin	1.29
External Monitor Job Type Plugin	1.7
Folders Plugin	6.11
Git client plugin	3.1.1
GIT server Plugin	1.9
Hudson VMware plugin	0.8
Icon Shim Plugin	2.0.3
Jackson 2 API Plugin	2.10.2
Javadoc Plugin	1.5
JavaScript GUI Lib: ACE Editor bundle plugin	1.1
JavaScript GUI Lib: Handlebars bundle plugin	1.1.1
JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin	1.2.1
JavaScript GUI Lib: Moment.js bundle plugin	1.1.1
JSch dependency plugin	0.1.55.1
JUnit Plugin	1.28
LDAP Plugin	1.21
Lockable Resources plugin	2.7
Mail Watcher Plugin	1.16
Mailer Plugin	1.30
MapDB API Plugin	1.0.9.0
Matrix Authorization Strategy Plugin	2.5
Matrix Project Plugin	1.14
Maven Integration plugin	3.4
MSTest plugin	1.0.0
MSTestRunner plugin	1.3.0
Node Iterator API Plugin	1.5.0
Oracle Java SE Development Kit Installer Plugin	1.4
OWASP Markup Formatter Plugin	1.8
PAM Authentication plugin	1.6
Pipeline Graph Analysis Plugin	1.10
Pipeline	2.6
Pipeline: API	2.38
Pipeline: Basic Steps	2.19
Pipeline: Build Step	2.11
Pipeline: Declarative Agent API	1.1.1
Pipeline: Declarative Extension Points API	1.5.0
Pipeline: Declarative	1.5.0
Pipeline: Groovy	2.78
Pipeline: Input Step	2.11
Pipeline: Job	2.36
Pipeline: Milestone Step	1.3.1
Pipeline: Model API	1.5.0
Pipeline: Multibranch	2.21
Pipeline: Nodes and Processes	2.35
Pipeline: REST API Plugin	2.12
Pipeline: SCM Step	2.10
Pipeline: Shared Groovy Libraries	2.15
Pipeline: Stage Step	2.3
Pipeline: Stage Tags Metadata	1.5.0
Pipeline: Stage View Plugin	2.12
Pipeline: Step API	2.22
Pipeline: Supporting APIs	3.4
Plain Credentials Plugin	1.5
Release Plugin	2.10.2
Robot Framework plugin	2.0.1
SCM API Plugin	2.6.3
Script Security Plugin	1.68
SSH Credentials Plugin	1.18.1
SSH Slaves plugin	1.31.0
Structs Plugin	1.20
Subversion Plug-in	2.13.0
Token Macro Plugin	2.10
Trilead API Plugin	1.0.5
vSphere Plugin	2.21
VSTest Runner plugin	1.0.8
WMI Windows Agents Plugin	1.6
