"Active Choices Plug-in
 This plug-in provides additional parameter types for jobs, that allow you to cascade changes and render images or other HTML elements instead of the traditional parameter.",2.2.2
"AnsiColor
Adds ANSI coloring to the Console Output",0.6.3
"Ant Plugin
 Adds Apache Ant support to Jenkins",1.11
"Apache HttpComponents Client 4.x API Plugin
 Bundles Apache HttpComponents Client 4.x and allows it to be used by Jenkins plugins.",4.5.10-2.0
"Async Http Client
 This plugin provides a shared dependency on the async-http-client library so that other plugins can co-operate when using this library.",1.9.40.0
"Audit Trail
 Keep a log of who performed particular Jenkins operations, such as configuring jobs.",3.5
"Authentication Tokens API Plugin
This plugin provides an API for converting credentials into authentication tokens in Jenkins.",1.3
"Authorize Project
 Configure projects to run with specified authorization.",1.3.0
"bouncycastle API Plugin
This plugin provides an stable API to Bouncy Castle related tasks.",2.18
"Branch API Plugin
 This plugin provides an API for multiple branch based projects.",2.5.6
"Build Blocker Plugin
 This plugin blocks a build if one of the given jobs is running. The blocking behaviour can be configured to block builds on node or global level and to scan the queue and block if blocking jobs are about to run.",1.7.3
"Build Name and Description Setter
 This plug-in sets the display name and description of a build to something other than #1, #2, #3, ... 
Now also with support for build description and pipeline approach.",2.1.0
"Build Pipeline Plugin
 This plugin renders upstream and downstream connected jobs that typically form a build pipeline. In addition, it offers the ability to define manual triggers for jobs that require intervention prior to execution, e.g. an approval process outside of Jenkins.",1.5.8
"Build Timeout
 This plugin allows builds to be automatically terminated after the specified amount of time has elapsed.",1.19.1
"Build With Parameters
 Allows the user to provide parameters for a build in the url (similar to /job/JOBNAME/buildWithParameters), prompting for confirmation before triggering the job.",1.4
"CloudBees Docker Hub/Registry Notification
 Integrates Jenkins with DockerHub and Docker Registry",2.4.0
"Command Agent Launcher Plugin
 Allows agents to be launched using a specified command.",1.4
"Conditional BuildStep
 A buildstep wrapping any number of other buildsteps, controlling their execution based on a defined condition (e.g. BuildParameter).",1.3.6
"Config File Provider Plugin
 Ability to provide configuration files (e.g. settings.xml for maven, XML, groovy, custom files,...) loaded through the UI which will be copied to the job workspace.",3.6.3
"Credentials Binding Plugin
 Allows credentials to be bound to environment variables for use from miscellaneous build steps.",1.23
"Credentials Plugin
 This plugin allows you to store credentials in Jenkins.",2.3.7
"Dashboard View
 Customizable dashboard that can present various views of job information.",2.12
"Display URL API
Provides the DisplayURLProvider extension point to provide alternate URLs for use in notifications",2.3.2
"Docker Commons Plugin
 Provides the common shared functionality for various Docker-related plugins.",1.16
"Docker Pipeline
 Build and use Docker containers from pipelines.",1.23
"Durable Task Plugin
 Library offering an extension point for processes which can run outside of Jenkins yet be monitored.",1.34
"Email Extension Plugin
 This plugin is a replacement for Jenkins's email publisher. It allows to configure every aspect of email notifications: when an email is sent, who should receive it and what the email says",2.69
"EnvInject API Plugin
Stores shared logic for Environment Injection management
This plugin is up for adoption! We are looking for new maintainers. Visit our Adopt a Plugin initiative for more information.",1.7
"Environment Injector Plugin
 This plugin makes it possible to set an environment for the builds. 

This plugin is up for adoption! We are looking for new maintainers. Visit our Adopt a Plugin initiative for more information.",2.3.0
"External Monitor Job Type Plugin
Adds the ability to monitor the result of externally executed jobs",1.7
"Flowdock plugin
 This plugin posts build notifications to your flow at Flowdock.",1.2.1-UNOCHA
"Folders Plugin
 This plugin allows users to create ""folders"" to organize jobs. Users can define custom taxonomies (like by project type, organization type etc). Folders are nestable and you can define views within folders. Maintained by CloudBees, Inc.",6.12
"Git client plugin
Utility plugin for Git support in Jenkins",3.2.1
"Git Parameter Plug-In
 Adds ability to choose branches, tags or revisions from git repositories configured in project.",0.9.12
"Git plugin
 This plugin integrates Git with Jenkins.",4.2.2
"GIT server Plugin
 Allows Jenkins to act as a Git server.",1.9
"GitHub API Plugin
 This plugin provides GitHub API for other plugins.",1.111
"GitHub Branch Source Plugin
 Multibranch projects and organization folders from GitHub. Maintained by CloudBees, Inc.",2.7.1
"GitHub plugin
 This plugin integrates GitHub to Jenkins.",1.30.0
"Global Post Script Plugin
 This plugin execute a script configured in global configure after all builds, all jobs.
Caution: jython script supports removed since 1.1.0",1.1.4
"Global Slack Notifier Plugin
 This plugin post to slack after any build completed without any job setting.",1.5
Groovy,2.2
"Image Tag Parameter Plugin
 Lets you specify a set of (container) image tag that can be picked from as a build parameter.
 Use Docker Registry HTTP API V2 to retrieve tags.",1.2
"Jackson 2 API Plugin
 This plugin exposes the Jackson 2 JSON APIs to other Jenkins plugins.",2.11.0
Javadoc Plugin,1.5
"JavaScript GUI Lib: ACE Editor bundle plugin
 JavaScript GUI Lib: ACE Editor bundle plugin.",1.1
"JavaScript GUI Lib: Handlebars bundle plugin
 JavaScript GUI Lib: Handlebars bundle plugin.",1.1.1
"JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin
 JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin.",1.2.1
"JavaScript GUI Lib: Moment.js bundle plugin
 JavaScript GUI Lib: Moment.js bundle plugin.",1.1.1
"Job Configuration History Plugin
 Job history plugin for Jenkins.",2.26
"jQuery plugin
 This plugin provides an stable version of jQuery Javascript Library",1.12.4-1
"jQuery UI plugin
 This plugin allows you to use jQuery UI on view descriptions. 

This plugin is up for adoption! We are looking for new maintainers. Visit our Adopt a Plugin initiative for more information.",1.0.2
"JSch dependency plugin
Jenkins plugin that brings the JSch library as a plugin dependency, and provides an SSHAuthenticatorFactory for using JSch with the ssh-credentials plugin.",0.1.55.2
"JUnit Plugin
 Allows JUnit-format test results to be published.",1.29
"LDAP Plugin
Adds LDAP authentication to Jenkins",1.24
"Lockable Resources plugin
 This plugin allows to define external resources (such as printers, phones, computers) that can be locked by builds. If a build requires an external resource which is already locked, it will wait for the resource to be free.",2.8
"Logstash
 Adds the possibility to push builds logs and build data to a Logstash indexer such as Redis, RabbitMQ, Elastic Search or to Syslog.",2.3.2
"Mailer Plugin
This plugin allows you to configure email notifications for build results",1.32
"Managed Scripts
 This plugin allows to centrally manage shell scripts and reference these as build steps in your builds.",1.4
"MapDB API Plugin
 This plugin provides a shared dependency on the MapDB library so that other plugins can co-operate when using this library.",1.0.9.0
"Mask Passwords Plugin
 This plugin allows masking passwords that may appear in the console. The plugin also provides a non-stored password parameter. 

This plugin is up for adoption! We are looking for new maintainers. Visit our Adopt a Plugin initiative for more information.",2.13
"Matrix Authorization Strategy Plugin
 Offers matrix-based security authorization strategies (global and per-project).",2.6.1
"Matrix Project Plugin
 Multi-configuration (matrix) project type.",1.14
"Maven Integration plugin
This plug-in provides, for better and for worse, a deep integration of Jenkins and Maven: Automatic triggers between projects depending on SNAPSHOTs, automated configuration of various Jenkins publishers (Junit, ...).",3.6
"Node and Label parameter plugin
The node and label parameter plugin allows to dynamically select the node on which a job should be executed.",1.7.2
"Oracle Java SE Development Kit Installer Plugin
Allows the Oracle Java SE Development Kit (JDK) to be installed via download from Oracle's website.",1.4
"OWASP Markup Formatter Plugin
 Uses the OWASP Java HTML Sanitizer to allow safe-seeming HTML markup to be entered in project descriptions and the like.",2
"PAM Authentication plugin
Adds Unix Pluggable Authentication Module (PAM) support to Jenkins",1.6
"Parameterized Scheduler
 This plugin is for configuring a cron style timer schedule for parameterized builds.",0.8
"Parameterized Trigger plugin

This plugin is up for adoption! We are looking for new maintainers. Visit our Adopt a Plugin initiative for more information.",2.36
"Pipeline
 A suite of plugins that lets you orchestrate automation, simple or complex. See Pipeline as Code with Jenkins for more details.",2.6
"Pipeline Graph Analysis Plugin
 Provides a REST API to access pipeline and pipeline run data.",1.1
"Pipeline: API
 Plugin that defines Pipeline API.",2.4
"Pipeline: Basic Steps
 Commonly used steps for Pipelines.",2.2
"Pipeline: Build Step
 Adds the Pipeline step build to trigger builds of other jobs.",2.12
"Pipeline: Declarative
 An opinionated, declarative Pipeline.",1.6.0
"Pipeline: Declarative Agent API
 Replaced by Pipeline: Declarative Extension Points API plugin.",1.1.1
"Pipeline: Declarative Extension Points API
 APIs for extension points used in Declarative Pipelines.",1.6.0
"Pipeline: GitHub Groovy Libraries
 Allows Pipeline Grrovy libraries to be loaded on the fly from GitHub.",1
"Pipeline: Groovy
 Pipeline execution engine based on continuation passing style transformation of Groovy scripts.",2.8
"Pipeline: Input Step
 Adds the Pipeline step input to wait for human input or approval.",2.11
"Pipeline: Job
 Defines a new job type for pipelines and provides their generic user interface.",2.39
"Pipeline: Milestone Step
Plugin that provides the milestone step",1.3.1
"Pipeline: Model API
 Model API for Declarative Pipeline.",1.6.0
"Pipeline: Multibranch
 Enhances Pipeline plugin to handle branches better by automatically grouping builds from different branches.",2.21
"Pipeline: Nodes and Processes
 Pipeline steps locking agents and workspaces, and running external processes that may survive a Jenkins restart or slave reconnection.",2.35
"Pipeline: REST API Plugin
 Provides a REST API to access pipeline and pipeline run data.",2.13
"Pipeline: SCM Step
 Adds a Pipeline step to check out or update working sources from various SCMs (version control).",2.11
"Pipeline: Shared Groovy Libraries
 Shared libraries for Pipeline scripts.",2.16
"Pipeline: Stage Step
 Adds the Pipeline step stage to delineate portions of a build.",2.3
"Pipeline: Stage Tags Metadata
 Library plugin for Pipeline stage tag metadata.",1.6.0
"Pipeline: Stage View Plugin
 Pipeline Stage View Plugin.",2.13
"Pipeline: Step API
 API for asynchronous build step primitive.",2.22
"Pipeline: Supporting APIs
 Common utility implementations to build Pipeline Plugin",3.4
"Plain Credentials Plugin
 Allows use of plain strings and files as credentials.",1.7
"Resource Disposer Plugin
Dispose resources asynchronously. Utility plugin for resources that require more retries or take a long time to delete.",0.14
"Role-based Authorization Strategy
 Enables user authorization using a Role-Based strategy. Roles can be defined globally or for particular jobs or nodes selected by regular expressions.",2.16
"Run Condition Plugin
Define conditions for the execution of build steps",1.3
"SCM API Plugin
 This plugin provides a new enhanced API for interacting with SCM systems.",2.6.3
