
 num     #instances         #bytes  class name
----------------------------------------------
   1:         25471     1700644248  [B
   2:       1013378      110052048  [C
   3:       1007784       32249088  java.lang.StackTraceElement
   4:       1010930       24262320  java.lang.String
   5:        352443       23454952  [Ljava.lang.Object;
   6:         94702       14642184  [S
   7:        339500       10864000  java.util.HashMap$Node
   8:         69067        8257336  [I
   9:         85378        7513264  java.lang.reflect.Method
  10:        232191        7430112  java.util.concurrent.ConcurrentHashMap$Node
  11:          1174        6762624  [F
  12:         61091        6466632  [Ljava.util.HashMap$Node;
  13:         46426        4827056  [Ljava.lang.StackTraceElement;
  14:        165711        3977064  java.util.ArrayList
  15:         34195        3764136  java.lang.Class
  16:        194592        3113472  java.lang.Object
  17:         55063        2643024  java.util.HashMap
  18:         82404        2636928  java.lang.ref.WeakReference
  19:         45304        2537024  org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry
  20:         31731        2284632  com.cloudbees.workflow.rest.external.AtomFlowNodeExt
  21:         87904        2109696  java.util.concurrent.atomic.AtomicLong
  22:         62319        1994208  java.util.Hashtable$Entry
  23:         49561        1982440  com.google.common.cache.LocalCache$WeakEntry
  24:          1055        1825184  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  25:         41732        1669280  java.util.LinkedHashMap$Entry
  26:         40393        1615720  java.lang.ref.SoftReference
  27:         33580        1611840  com.google.common.cache.LocalCache$SoftValueReference
  28:         97574        1561184  com.cloudbees.workflow.rest.hal.Link
  29:         23265        1488960  java.net.URL
  30:         42664        1365248  java.util.concurrent.locks.ReentrantLock$NonfairSync
  31:         85219        1363504  com.cloudbees.groovy.cps.impl.ConstantBlock
  32:         28618        1327128  [Ljava.lang.String;
  33:         40602        1299264  com.google.common.cache.LocalCache$StrongEntry
  34:         17915        1289880  java.lang.reflect.Field
  35:         59443        1258888  [Ljava.lang.Class;
  36:         14742        1179360  java.lang.reflect.Constructor
  37:         20348        1139488  java.util.LinkedHashMap
  38:         28101        1124040  com.cloudbees.groovy.cps.impl.FunctionCallBlock
  39:         27615        1104600  java.util.TreeMap$Entry
  40:         11161        1095120  [Ljava.util.WeakHashMap$Entry;
  41:         19199        1075144  org.codehaus.groovy.ast.expr.ConstantExpression
  42:         44270        1062480  com.cloudbees.groovy.cps.impl.SourceLocation
  43:         11684         934720  com.google.common.cache.LocalCache$Segment
  44:         16301         912856  org.h2.mvstore.cache.CacheLongKeyLIRS$Entry
  45:         56967         911472  com.google.common.cache.LocalCache$StrongValueReference
  46:         36436         875248  [Lcom.cloudbees.groovy.cps.Block;
  47:          5975         842912  [Ljava.util.Hashtable$Entry;
  48:         33935         814440  com.cloudbees.workflow.rest.external.FlowNodeExt$FlowNodeLinks
  49:          3341         811632  [Z
  50:         20290         811600  java.util.WeakHashMap$Entry
  51:         16419         788112  org.jenkinsci.plugins.workflow.cps.nodes.StepAtomNode
  52:         13696         766976  java.beans.MethodDescriptor
  53:         22858         731456  java.lang.ref.ReferenceQueue
  54:         14998         719904  hudson.remoting.ExportTable$Entry
  55:         17996         719840  java.security.ProtectionDomain
  56:          9787         704664  org.codehaus.groovy.ast.expr.MethodCallExpression
  57:         16992         679680  hudson.remoting.Command$Source
  58:         28156         675744  java.util.concurrent.CopyOnWriteArrayList
  59:         26714         641136  org.codehaus.groovy.util.FastArray
  60:         26040         624960  java.beans.MethodRef
  61:           282         624280  [Ljava.nio.ByteBuffer;
  62:         25139         603336  org.jenkinsci.plugins.workflow.actions.TimingAction
  63:         14998         599920  hudson.remoting.ExportTable$CreatedAt
  64:         14605         584200  com.google.common.cache.AbstractCache$SimpleStatsCounter
  65:         18007         576224  java.security.CodeSource
  66:         14336         573440  hudson.remoting.ExportTable$ReleasedAt
  67:          9988         559328  org.codehaus.groovy.ast.expr.TupleExpression
  68:         11222         538656  org.codehaus.groovy.antlr.GroovySourceAST
  69:             2         524320  [Lorg.h2.mvstore.MVMap;
  70:         10600         508800  java.util.WeakHashMap
  71:         21019         504456  com.google.common.collect.SingletonImmutableList
  72:          7770         497280  org.codehaus.groovy.reflection.CachedMethod
  73:         30982         495712  java.util.concurrent.locks.ReentrantLock
  74:          3258         487200  [Lorg.codehaus.groovy.util.ComplexKeyHashMap$Entry;
  75:         18843         456992  [Lorg.apache.commons.jexl.parser.Node;
  76:          3074         442656  org.codehaus.groovy.ast.ClassNode
  77:          6098         439056  java.beans.PropertyDescriptor
  78:         13352         427264  org.codehaus.groovy.util.SingleKeyHashMap$Entry
  79:         10217         408680  org.kohsuke.stapler.MetaClass$2
  80:         16815         403560  hudson.remoting.ProxyOutputStream$Unexport
  81:         16164         387936  org.jenkinsci.plugins.workflow.cps.actions.ArgumentsActionImpl
  82:         11701         374432  java.util.Vector
  83:          2921         373888  com.google.common.cache.LocalCache
  84:         15339         368136  java.util.LinkedList$Node
  85:         22861         365776  java.lang.ref.ReferenceQueue$Lock
  86:         14752         354048  com.cloudbees.groovy.cps.impl.LocalVariableBlock
  87:         21667         346672  java.util.HashMap$EntrySet
  88:         10133         324256  com.cloudbees.groovy.cps.impl.PropertyAccessBlock
  89:           202         314912  [Lorg.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry;
  90:         18509         296144  org.jenkinsci.plugins.workflow.support.actions.LogStorageAction
  91:         17996         287936  [Ljava.security.Principal;
  92:         17996         287936  java.security.ProtectionDomain$Key
  93:         11880         285120  com.cloudbees.groovy.cps.impl.SequenceBlock
  94:           485         283232  [J
  95:          5837         280176  java.util.TreeMap
  96:          8703         278496  org.apache.commons.jexl.parser.ASTIdentifier
  97:          5759         276432  java.util.Hashtable
  98:          5338         256224  org.codehaus.groovy.util.ReferenceType$SoftRef
  99:         10359         248616  sun.reflect.generics.tree.SimpleClassTypeSignature
 100:         10276         246624  org.kohsuke.stapler.Function$InstanceFunction
 101:          7475         239200  org.h2.value.ValueArray
 102:         14261         228176  java.util.concurrent.atomic.AtomicInteger
 103:          9472         227328  java.util.jar.Attributes$Name
 104:          7475         224912  [Lorg.h2.value.Value;
 105:          6945         222240  org.apache.commons.jelly.impl.ExpressionAttribute
 106:          3074         221328  sun.reflect.DelegatingClassLoader
 107:          1159         217496  [Ljava.beans.MethodDescriptor;
 108:          4427         212496  org.jenkinsci.plugins.workflow.cps.nodes.StepStartNode
 109:          1559         211952  [Lorg.h2.mvstore.Page$PageReference;
 110:          3274         209536  java.util.concurrent.ConcurrentHashMap
 111:         10359         207320  [Lsun.reflect.generics.tree.TypeArgument;
 112:          4254         204192  org.jenkinsci.plugins.workflow.cps.nodes.StepEndNode
 113:          8242         197808  io.jenkins.blueocean.service.embedded.BlueOceanUrlObjectImpl
 114:          5857         187424  java.util.Collections$SynchronizedMap
 115:         11693         187088  java.util.concurrent.atomic.AtomicReferenceArray
 116:          4658         186320  net.java.sezpoz.IndexItem
 117:         11552         184832  com.cloudbees.groovy.cps.impl.BlockScopedBlock
 118:          5759         184288  java.util.concurrent.FutureTask
 119:          7509         180216  org.jenkinsci.plugins.pipeline.modeldefinition.ast.ModelASTKey
 120:          5544         177408  org.apache.commons.jexl.parser.ASTReference
 121:          3099         173544  java.lang.invoke.MemberName
 122:          1776         170496  hudson.model.UpdateSite$Plugin
 123:         10651         170416  java.lang.Integer
 124:          6860         164640  sun.reflect.annotation.AnnotationInvocationHandler
 125:          2204         158688  com.cloudbees.workflow.rest.external.StageNodeExt
 126:          4893         156576  com.thoughtworks.xstream.converters.reflection.FieldKey
 127:          4862         155584  org.codehaus.groovy.util.ReferenceType$WeakRef
 128:          6473         155352  org.jenkinsci.plugins.pipeline.modeldefinition.ast.ModelASTValue$ConstantValue
 129:          9489         151824  sun.reflect.generics.tree.ClassTypeSignature
 130:          4658         149056  net.java.sezpoz.impl.SerAnnotatedElement
 131:          6201         148824  java.util.Collections$SingletonList
 132:          3664         146560  sun.reflect.generics.repository.MethodRepository
 133:          5917         142008  java.util.concurrent.Executors$RunnableAdapter
 134:          5768         138432  java.util.concurrent.LinkedBlockingQueue$Node
 135:          5678         136272  hudson.remoting.PipeWriter$1
 136:          6945         134312  [Ljava.lang.reflect.Type;
 137:          4191         134112  org.apache.commons.jexl.ExpressionImpl
 138:          4191         134112  org.apache.commons.jexl.parser.ASTJexlScript
 139:          5505         132120  org.xml.sax.helpers.AttributesImpl
 140:          8241         131856  io.jenkins.blueocean.service.embedded.BlueOceanUrlAction
 141:          8223         131568  com.cloudbees.workflow.rest.endpoints.FlowNodeAPI
 142:             4         131136  [Ljava.util.concurrent.ForkJoinTask;
 143:          4096         131072  org.eclipse.jetty.servlet.ServletHandler$CachedChain
 144:          5338         128112  org.codehaus.groovy.util.ManagedReference
 145:          1778         128016  org.jenkinsci.plugins.pipeline.modeldefinition.ast.ModelASTStage
 146:          1590         127200  org.kohsuke.stapler.jelly.ReallyStaticTagLibrary$1
 147:          6511         126896  [Lsun.reflect.generics.tree.FieldTypeSignature;
 148:          3904         124928  groovy.lang.MetaBeanProperty
 149:          2182         122192  sun.nio.cs.UTF_8$Encoder
 150:          5091         122184  sun.reflect.generics.factory.CoreReflectionFactory
 151:          3054         122160  com.sun.jndi.ldap.LdapAttribute
 152:          1681         121032  org.apache.commons.jelly.impl.TagScript
 153:          2105         117880  org.codehaus.groovy.reflection.ClassInfo
 154:          3675         117600  sun.reflect.generics.tree.MethodTypeSignature
 155:          2926         117040  java.lang.ref.Finalizer
 156:          4860         116640  org.h2.value.ValueLong
 157:          1962         109872  java.lang.Package
 158:          3418         109376  com.cloudbees.groovy.cps.impl.BlockScopeEnv
 159:          2278         109344  com.google.inject.internal.ConstructorBindingImpl
