ant                                Ant Plugin                                      1.11
antisamy-markup-formatter          OWASP Markup Formatter Plugin                   1.1 (2.1)
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin     4.5.10-2.0
atlassian-jira-software-cloud      Atlassian Jira Software Cloud                   1.1.0
aws-lambda                         AWS Lambda Plugin                               0.5.10
bouncycastle-api                   bouncycastle API Plugin                         2.18
branch-api                         Branch API Plugin                               2.6.0
build-name-setter                  Build Name and Description Setter               2.1.0
built-on-column                    built-on-column                                 1.1
cloudbees-folder                   Folders Plugin                                  6.14
command-launcher                   Command Agent Launcher Plugin                   1.5
conditional-buildstep              Conditional BuildStep                           1.3.6
credentials-binding                Credentials Binding Plugin                      1.24
credentials                        Credentials Plugin                              2.3.11
cvs                                CVS Plug-in                                     2.16
display-url-api                    Display URL API                                 2.3.3
email-ext                          Email Extension Plugin                          2.77
envinject-api                      EnvInject API Plugin                            1.7
envinject                          Environment Injector Plugin                     2.1.6 (2.3.0)
external-monitor-job               External Monitor Job Type Plugin                1.7
git-client                         Git client plugin                               3.2.1
git                                Git plugin                                      4.2.2
github-api                         GitHub API Plugin                               1.116
github                             GitHub plugin                                   1.31.0
jackson2-api                       Jackson 2 API Plugin                            2.11.1
javadoc                            Javadoc Plugin                                  1.6
jdk-tool                           Oracle Java SE Development Kit Installer Plugin 1.4
jenkins-multijob-plugin            Multijob plugin                                 1.33
jsch                               JSch dependency plugin                          0.1.55.2
junit                              JUnit Plugin                                    1.29
ldap                               LDAP Plugin                                     1.25
mailer                             Mailer Plugin                                   1.32.1
mapdb-api                          MapDB API Plugin                                1.0.9.0
matrix-auth                        Matrix Authorization Strategy Plugin            2.5.1
matrix-project                     Matrix Project Plugin                           1.18
maven-plugin                       Maven Integration plugin                        3.7
msbuild                            MSBuild Plugin                                  1.29
multiple-scms                      Multiple SCMs plugin                            0.6
okhttp-api                         OkHttp Plugin                                   3.14.9
pam-auth                           PAM Authentication plugin                       1.6
parameterized-trigger              Parameterized Trigger plugin                    2.39
plain-credentials                  Plain Credentials Plugin                        1.7
powershell                         PowerShell plugin                               1.4
publish-over-ssh                   Publish Over SSH                                1.20.1
publish-over                       Infrastructure plugin for Publish Over X        0.22
run-condition                      Run Condition Plugin                            1.3
scm-api                            SCM API Plugin                                  2.6.4
script-security                    Script Security Plugin                          1.75
slack                              Slack Notification Plugin                       2.41
snakeyaml-api                      Snakeyaml API Plugin                            1.26.3
sonar                              SonarQube Scanner for Jenkins                   2.12
ssh-credentials                    SSH Credentials Plugin                          1.18.1
ssh-slaves                         SSH Slaves plugin                               1.29.1 (1.31.2)
ssh                                SSH plugin                                      2.6.1
structs                            Structs Plugin                                  1.20
subversion                         Subversion Plug-in                              2.13.1
token-macro                        Token Macro Plugin                              2.12
translation                        Translation Assistance plugin                   1.16
trilead-api                        Trilead API Plugin                              1.0.10
versionnumber                      Version Number Plug-In                          1.9
windows-slaves                     WMI Windows Agents Plugin                       1.6
workflow-api                       Pipeline: API                                   2.40
workflow-job                       Pipeline: Job                                   2.40
workflow-scm-step                  Pipeline: SCM Step                              2.11
workflow-step-api                  Pipeline: Step API                              2.23
workflow-support                   Pipeline: Supporting APIs                       3.5
