Version,Type,Ticket #,Description,Analysis
2.4.13,DEP,[GROOVY-8291],Bump XStream version to 1.4.10,"Core uses 1.4.14, BEE-628 upgrades XStream to 1.4.15"
2.4.13,IMP,[GROOVY-8376], Add @DelegatesTo to SwingBuilder methods that call setDelegate,Using @DelegatesTo instead of setDelegate() (not adding new annotation)
2.4.13,NEW,[GROOVY-8236],Report more meaningful error for versions of Groovy not supporting @Repeatable,added support for @Repeatable
2.4.14,IMP,[GROOVY-8428],Add DGM startsWithAny(String...) and endsWithAny(String...),added two new functions that wrap Java String.startsWith()/endsWith()
2.4.16,IMP,[GROOVY-4585],backslash can not be escaped by `SimpleTemplateEngine`,adds a boolean flag to SimpleTemplateEngine() to escape backslashes
2.4.16,IMP,[GROOVY-8576],Remove Java2GroovyMain dependency on commons-cli,removes CommandLineParser
2.4.17,IMP,[GROOVY-9101],GroovyConsole should have a right-click context menu,Setting component pop up menu to ConsoleView
2.4.19,DEP,[GROOVY-9262],Bump asm to 7.2,"Found a few usages of ASM, notable blueocean and worfklow-aggregator exclude it in their POMs"
2.4.19,NEW,[GROOVY-9384],Groovy should provide a Maven BOM,"providing bom, just changes to build"
2.4.21,DEP,[GROOVY-9552],Bump Ant versions to address: [CVE-2020-1945] Apache Ant insecure temporary file vulnerability,"security bump ant to 1.9.15, Jenkins core bom ant at 1.10.9"
2.4.21,DEP,[GROOVY-9793],Bump JUnit4 version to 4.13.1 (includes security fix),"security bump junit to 4.13.1, Junit plugin is uses 4.13.1 from Jenkins plugin pom, Jenkins plugin pom is at 14.13.2"
