Attaching to jenkins
jenkins    | Running from: /usr/share/jenkins/jenkins.war
jenkins    | webroot: EnvVars.masterEnvVars.get("JENKINS_HOME")
jenkins    | 2022-08-23 09:42:54.242+0000 [id=1]	INFO	org.eclipse.jetty.util.log.Log#initialized: Logging initialized @1033ms to org.eclipse.jetty.util.log.JavaUtilLog
jenkins    | 2022-08-23 09:42:54.336+0000 [id=1]	INFO	winstone.Logger#logInternal: Beginning extraction from war file
jenkins    | 2022-08-23 09:42:54.406+0000 [id=1]	WARNING	o.e.j.s.handler.ContextHandler#setContextPath: Empty contextPath
jenkins    | 2022-08-23 09:42:54.548+0000 [id=1]	INFO	winstone.Logger#logInternal: Exclude Ciphers [^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]
jenkins    | 2022-08-23 09:42:54.611+0000 [id=1]	INFO	org.eclipse.jetty.server.Server#doStart: jetty-9.4.45.v20220203; built: 2022-02-03T09:14:34.105Z; git: 4a0c91c0be53805e3fcffdcdcc9587d5301863db; jvm 11.0.16+8
jenkins    | 2022-08-23 09:42:55.059+0000 [id=1]	INFO	o.e.j.w.StandardDescriptorProcessor#visitServlet: NO JSP Support for /, did not find org.eclipse.jetty.jsp.JettyJspServlet
jenkins    | 2022-08-23 09:42:55.117+0000 [id=1]	INFO	o.e.j.s.s.DefaultSessionIdManager#doStart: DefaultSessionIdManager workerName=node0
jenkins    | 2022-08-23 09:42:55.117+0000 [id=1]	INFO	o.e.j.s.s.DefaultSessionIdManager#doStart: No SessionScavenger set, using defaults
jenkins    | 2022-08-23 09:42:55.120+0000 [id=1]	INFO	o.e.j.server.session.HouseKeeper#startScavenging: node0 Scavenging every 660000ms
jenkins    | 2022-08-23 09:42:55.760+0000 [id=1]	INFO	hudson.WebAppMain#contextInitialized: Jenkins home directory: /var/jenkins_home found at: EnvVars.masterEnvVars.get("JENKINS_HOME")
jenkins    | 2022-08-23 09:42:56.103+0000 [id=1]	INFO	o.e.j.s.handler.ContextHandler#doStart: Started w.@1d269ed7{Jenkins v2.346.3,/,file:///var/jenkins_home/war/,AVAILABLE}{/var/jenkins_home/war}
jenkins    | 2022-08-23 09:42:56.135+0000 [id=1]	INFO	o.e.j.util.ssl.SslContextFactory#load: x509=X509@d2387c8(jenkins-202202,h=[jenkins.contosog.com, pki, machine],a=[],w=[jenkins.contosog.com]) for Server@1fd386c3[provider=null,keyStore=null,trustStore=null]
jenkins    | 2022-08-23 09:42:56.427+0000 [id=1]	INFO	o.e.j.server.AbstractConnector#doStart: Started ServerConnector@58a9760d{SSL, (ssl, http/1.1)}{0.0.0.0:8443}
jenkins    | 2022-08-23 09:42:56.427+0000 [id=1]	INFO	org.eclipse.jetty.server.Server#doStart: Started @3220ms
